"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Barrow-Blade","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","237","False","False","0.29"
"1","1","Bastion Protector","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","233","False","False","0.49"
"1","1","Bastion Protector","ltc","Near Mint","English","","","2026-09-10 00:13:02.787000","162","False","False","0.47"
"1","1","Bastion Protector","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","122","False","False","1.92"
"1","1","Battle Hymn","avr","Near Mint","English","","","2026-09-10 00:13:02.787000","128","False","False","2.02"
"1","1","Battle Menu","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","9","False","False","0.15"
"1","1","Battle Menu","fin","Near Mint","English","foil","","2026-09-10 00:13:02.787000","9","False","False","0.24"
"1","1","Battlefield Forge","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","375","False","False","0.32"
"1","1","Battlefield Forge","ltc","Near Mint","English","","","2026-09-10 00:13:02.787000","296","False","False","0.35"
"1","1","Battle-Scarred Goblin","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","115","False","False","0.11"
"1","1","Baxter Building","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","261","False","False","0.18"
"1","1","Baxter, Fly in the Ointment","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","10","False","False","0.29"
"1","1","Beast Within","tdc","Near Mint","English","","","2026-09-10 00:13:02.787000","249","False","False","0.51"
"1","1","Beast, Erudite Aerialist","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","206","False","False","0.11"
"1","1","Beast, Erudite Aerialist","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","206","False","False","0.28"
"1","1","Bebop, Skull & Crossbones","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","15","False","False","0.28"
"5","5","Beetle, Legacy Criminal","spm","Near Mint","English","","","2026-09-10 00:13:02.787000","26","False","False","0.12"
"4","4","Beetle-Headed Merchants","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","86","False","False","0.10"
"1","1","Behemoth Sledge","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","320","False","False","0.30"
"1","1","Beifong's Bounty Hunters","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","209","False","False","0.60"
"1","1","Belladonna Took","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","4","False","False","4.16"
"5","5","Bender's Waterskin","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","255","False","False","0.86"
"1","1","Bender's Waterskin","tla","Near Mint","English","foil","","2026-09-10 00:13:02.787000","255","False","False","5.19"
"1","1","Benevolent Hydra","soc","Near Mint","English","","","2026-09-10 00:13:02.787000","124","False","False","3.38"
"2","2","Benevolent River Spirit","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","45","False","False","0.15"
"1","1","Beorn the Fierce","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","230","False","False","17.04"
"8","8","Beorn, Reluctant Host // Till and Tend","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","118","False","False","0.17"
"2","2","Beorn, Reluctant Host // Till and Tend","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","118","False","False","0.16"
"4","4","Beorn's Hospitality","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","120","False","False","0.26"
"1","1","Beorn's Hospitality","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","120","False","False","0.36"
"1","1","Beregond of the Guard","ltc","Near Mint","English","","","2026-09-10 00:13:02.787000","9","False","False","0.29"
"1","1","Berta, Wise Extrapolator","sos","Near Mint","English","","","2026-09-10 00:13:02.787000","175","False","False","0.33"
"2","2","Bewitching Leechcraft","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","41","False","False","0.11"
"2","2","Bifur, Melodic Rider","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","147","False","False","0.15"
"2","2","Bifur, Melodic Rider","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","147","False","False","0.32"
"1","1","Big Apple, 3 a.m.","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","42","False","False","0.34"
"1","1","Big Bertha","msc","Near Mint","English","foil","","2026-09-10 00:13:02.787000","714","False","False","0.70"
"1","1","Big Mother Mouser","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","37","False","False","1.55"
"8","8","Bilbo Baggins, Burglar // Take a Glance","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","34","False","False","0.10"
"1","1","Bilbo Baggins, Burglar // Take a Glance","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","34","False","False","0.14"
"1","1","Bilbo Baggins, Burglar // Take a Glance","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","34","False","False","0.25"
"1","1","Bilbo, Luckwearer // Burglar's Plot","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","32","False","False","0.29"
"1","1","Bilbo, Luckwearer // Burglar's Plot","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","254","False","False","2.64"
"5","5","Bilbo, Luckwearer // Burglar's Plot","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","32","False","False","0.17"
"2","2","Bilbo, Retired Burglar","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","196","False","False","0.26"
